store_id,total_revenue
387,7396756.130000001
175,8331266.929999999
498,8250043.97
381,7898526.85
35,5949218.17
485,7129572.29
310,7312437.109999999
437,8714321.16
196,7846216.580000002
456,8047612.190000001
441,8211197.2
290,7721424.809999999
217,8774777.14
229,8836594.06
307,9081757.669999998
326,9108062.14
278,7345764.28
114,8131569.51
494,7857500.49
173,7675183.779999999
220,8615775.31
301,9684376.32
55,7391881.740000001
445,7922120.040000001
4,8773416.43
59,9084465.04
450,9248466.23
449,7721754.51
8,7225043.66
100,7843432.68
495,8740020.58
241,7846902.989999999
161,8461511.849999998
23,7724875.960000001
39,9768104.65
49,9306153.93
380,8060830.52
176,7801104.5600000005
162,6568507.840000001
7,6698781.680000001
130,7353113.140000001
238,6978204.75
446,8697339.76
244,6719208.13
84,8559580.9
453,7783887.21
136,7537915.6899999995
314,8853059.94
247,9470559.61
87,8061215.24
443,8908787.87
273,9696615.24
171,8791783.91
434,7095015.870000001
439,8233601.719999999
343,7785542.57
465,9544532.03
331,7223013.09
194,7845690.050000001
51,7755662.129999999
428,6981206.079999999
277,6966663.239999999
438,7731547.03
391,9607251.3
467,8243361.32
448,7724212.850000001
129,7396275.459999999
166,8253935.03
69,8441176.99
97,9462560.389999999
400,9290384.74
234,6973173.43
264,7560348.129999999
389,7812849.59
239,7503303.91
312,8113123.42
63,7690643.550000001
395,7222613.84
403,7433357.55
459,7369853.37
102,8178853.389999999
10,7914749.699999999
361,7358321.65
77,6598930.43
50,8701014.23
404,8213328.550000001
267,8700737.440000001
293,7761386.5600000005
45,7190977.720000001
216,7368556.59
320,8074846.9399999995
261,7207113.29
418,9563820.42
38,8627602.459999999
364,6997738.66
82,7935924.67
181,7475667.86
249,7374599.359999999
167,7745591.64
288,7300163.199999999
394,8271341.92
356,7488651.869999999
240,7847869.880000001
80,7687644.289999999
289,8492446.64
73,7585652.41
427,8636561.86
25,9153806.57
245,8561811.15
237,7991427.74
113,7911453.729999999
160,8510269.780000001
24,6971190.369999999
408,9129561.41
70,7251474.52
62,8552911.84
396,8121338.08
121,7745171.500000001
125,6563387.9399999995
480,7329659.61
156,7212151.600000001
351,8063396.44
219,6470696.600000001
143,9702128.43
95,8725665.119999997
411,7421070.5
482,9158060.440000001
477,7831209.6
29,9715725.93
390,7776444.500000002
226,8422975.95
464,8193598.2299999995
21,8091402.910000002
214,7533682.58
323,8010183.539999999
352,8195039.9399999995
335,9267572.860000001
492,8849250.69
338,8348394.2
98,7668088.899999999
256,7976188.99
195,8518141.98
287,8199972.420000001
490,9339609.93
345,8112224.6000000015
371,7839325.5600000005
90,7999107.9
60,8080227.77
32,8574338.03
75,8149532.03
469,8637531.21
382,7210368.49
265,7543137.82
457,8380601.290000001
203,7807262.289999999
221,7723614.0
433,8550528.350000001
141,9576632.180000002
341,8072032.36
414,8107854.930000002
151,6302702.950000001
334,8128019.369999998
145,8877497.580000002
376,7226734.549999999
272,7175494.979999999
488,8968812.63
200,6869277.459999999
109,9498882.049999999
378,8151565.82
56,9975349.53
487,7904781.5600000005
254,8084600.299999999
213,7780433.710000001
478,7899420.08
228,8873515.47
426,9459823.86
303,6515554.34
354,6154075.71
170,8077477.850000001
304,8165854.8500000015
370,8660564.07
298,7763280.000000001
105,7504016.17
58,8290485.710000001
188,7322864.039999999
421,7431256.02
11,8370687.630000001
204,7953327.550000001
33,9960960.15
83,8826525.190000001
413,8905784.649999999
150,7711085.0200000005
110,6905427.7
369,8218003.420000001
106,8061966.619999999
71,7272161.8100000005
68,7811889.880000001
260,7763100.760000001
147,6973348.890000001
116,7325902.839999999
14,7952626.680000001
198,9016453.389999999
317,8101178.81
424,10565831.54
349,7853648.58
344,7368273.26
379,6754394.8
123,7559563.44
342,7129659.660000001
454,7546366.6
373,7200121.96
158,8204414.659999998
284,7948895.18
242,8682858.66
270,6640643.12
199,7692149.02
135,8894744.26
499,8238502.17
248,8657886.71
119,9185747.34
337,8167379.47
466,6324816.330000001
42,7481692.23
2,6720241.16
201,8933038.700000001
79,7880233.229999999
131,8081670.45
276,7662845.289999999
149,7197723.330000001
365,7346986.46
357,8157702.07
294,6959267.96
118,7570547.200000001
281,10477467.34
124,7031086.789999999
99,7895838.609999999
30,8492616.06
184,8822130.100000001
313,7218324.02
302,7285427.52
66,9448409.59
405,7761824.82
282,7812985.739999999
67,8366970.48
186,7667724.1
275,8419281.23
46,7096671.52
311,7247212.82
174,8055817.22
215,7535148.130000001
410,8049904.539999999
172,8484082.2
252,8862021.27
399,7666680.930000001
153,8106770.26
420,8073506.53
144,8237282.649999999
18,8501100.469999999
475,8218893.930000001
74,8527573.72
138,7492096.289999999
104,7507077.75
483,10201577.559999999
468,7876269.65
180,7998707.96
134,7825845.379999999
407,7765943.95
208,7950417.120000001
393,8509268.43
36,7687445.5200000005
315,7342114.36
187,7547229.37
401,8865920.639999999
422,8223641.170000001
89,5924945.75
