product_id,product_name,category,brand,price,stock_quantity
100,Gas Stove,Home & Kitchen,LG,71517.0,376
101,SQL Basics,Books,Godrej,86737.0,20
102,Smartphone,Electronics,Adidas,22808.0,41
103,Pressure Cooker,Home & Kitchen,HP,31445.0,185
104,Mixer Grinder,Home & Kitchen,Boat,9521.0,498
105,Microwave,Home & Kitchen,Unknown Brand,56021.0,108
106,Cricket Gloves,Sports,Lenovo,95466.0,282
107,Running Shoes,Fashion,Adidas,84963.0,230
108,Cap,Fashion,Penguin,46915.0,405
109,Sunglasses,Fashion,Nike,19474.0,107
110,Clean Code,Books,Godrej,30121.0,253
111,Gas Stove,Home & Kitchen,Nike,73941.0,307
112,Helmet,Sports,Apple,69548.0,461
113,Python Programming,Books,Apple,14616.0,253
114,Kurta,Fashion,Godrej,48998.0,304
115,Mouse,Electronics,Penguin,25302.0,310
116,Atomic Habits,Books,Sony,42082.0,406
117,Cap,Fashion,Dell,12972.0,325
118,Dumbbells,Sports,Prestige,13822.0,326
119,Kurta,Fashion,Puma,26176.0,189
120,Cricket Gloves,Sports,Puma,3186.0,425
121,Jacket,Fashion,Puma,32706.0,415
122,Data Engineering,Books,Puma,58214.0,144
123,Pressure Cooker,Home & Kitchen,Lenovo,50047.0,320
124,Jacket,Fashion,Sony,78300.0,279
125,Pressure Cooker,Home & Kitchen,Dell,33628.0,434
126,Monitor,Electronics,Lenovo,20393.0,456
127,Cap,Fashion,Samsung,94118.0,419
128,Watch,Fashion,Amazon Basics,80334.0,168
129,Gas Stove,Home & Kitchen,Sony,14470.0,278
130,Running Shoes,Fashion,Sony,27703.0,97
131,Tablet,Electronics,Amazon Basics,76514.0,64
132,Handbag,Fashion,Adidas,42778.0,62
133,Smart Watch,Electronics,Prestige,19030.0,148
134,Machine Learning,Books,Nike,65964.0,263
135,Data Engineering,Books,Dell,94663.0,412
136,Sneakers,Fashion,Sony,53946.0,497
137,Helmet,Sports,Prestige,73589.0,473
138,Clean Code,Books,LG,52367.0,265
139,Smart Watch,Electronics,Unknown Brand,34743.0,339
140,Running Shoes,Fashion,Amazon Basics,83331.0,347
141,Watch,Fashion,Samsung,19091.0,275
142,Smart Watch,Electronics,Nike,40304.0,62
143,Vacuum Cleaner,Home & Kitchen,Adidas,20414.0,404
144,Bluetooth Speaker,Electronics,Penguin,93669.0,134
145,Data Engineering,Books,Amazon Basics,70418.0,336
146,Monitor,Electronics,Samsung,52304.0,239
147,Clean Code,Books,Puma,53510.0,109
148,SQL Basics,Books,LG,55893.0,310
149,Dumbbells,Sports,Philips,95245.0,287
150,Sunglasses,Fashion,Samsung,30192.0,253
