customer_id,first_purchase_date,cohort_month
1082,2025-02-14,2025-02
1083,2025-03-10,2025-03
1084,2024-08-27,2024-08
1085,2024-10-21,2024-10
1086,2024-09-18,2024-09
1087,2024-08-14,2024-08
1088,2024-08-01,2024-08
1089,2024-08-11,2024-08
1090,2024-08-07,2024-08
1091,2024-10-06,2024-10
1092,2024-08-26,2024-08
1093,2024-08-17,2024-08
1094,2024-11-06,2024-11
1095,2024-08-31,2024-08
1096,2024-10-06,2024-10
1097,2024-08-01,2024-08
1098,2025-04-19,2025-04
1099,2024-09-21,2024-09
1100,2024-09-26,2024-09
1101,2025-01-22,2025-01
1102,2025-01-06,2025-01
1103,2024-10-26,2024-10
1104,2024-08-19,2024-08
1105,2024-08-01,2024-08
1106,2024-11-28,2024-11
1107,2024-10-15,2024-10
1108,2024-09-11,2024-09
1109,2024-08-15,2024-08
1110,2024-09-24,2024-09
1111,2024-09-20,2024-09
1112,2024-10-25,2024-10
1113,2025-05-05,2025-05
1114,2024-07-30,2024-07
1115,2024-08-06,2024-08
1116,2024-11-04,2024-11
1117,2024-11-05,2024-11
1118,2024-09-26,2024-09
1119,2024-11-18,2024-11
1120,2024-08-13,2024-08
1121,2024-07-30,2024-07
1122,2024-08-14,2024-08
1123,2024-10-30,2024-10
1124,2024-08-23,2024-08
1125,2024-08-06,2024-08
1126,2024-08-14,2024-08
1127,2024-12-25,2024-12
1128,2024-09-09,2024-09
1129,2024-08-23,2024-08
1130,2024-09-05,2024-09
1131,2024-11-05,2024-11
1132,2024-08-23,2024-08
1133,2025-03-17,2025-03
1134,2024-10-02,2024-10
1135,2024-08-30,2024-08
1136,2024-08-25,2024-08
1137,2024-08-02,2024-08
1138,2024-08-04,2024-08
1139,2024-08-19,2024-08
1140,2024-11-08,2024-11
1141,2024-11-17,2024-11
1142,2025-01-16,2025-01
1143,2024-12-10,2024-12
1144,2025-01-03,2025-01
1145,2024-08-15,2024-08
1146,2024-09-01,2024-09
1147,2024-12-04,2024-12
1148,2024-07-31,2024-07
1149,2024-08-23,2024-08
1150,2024-08-03,2024-08
1151,2024-12-05,2024-12
1152,2024-09-04,2024-09
1153,2024-08-17,2024-08
1154,2025-10-29,2025-10
1155,2024-08-22,2024-08
1156,2024-11-19,2024-11
1157,2024-08-02,2024-08
1158,2024-08-02,2024-08
1159,2024-08-19,2024-08
1160,2024-10-11,2024-10
1161,2024-07-30,2024-07
1162,2024-11-14,2024-11
1163,2024-11-12,2024-11
1164,2024-11-02,2024-11
1165,2024-08-29,2024-08
1166,2024-08-04,2024-08
1167,2024-10-27,2024-10
1168,2024-08-02,2024-08
1169,2024-12-10,2024-12
1170,2025-07-15,2025-07
1171,2024-08-04,2024-08
1172,2024-10-06,2024-10
1173,2024-10-25,2024-10
1174,2024-09-03,2024-09
1175,2024-12-12,2024-12
1176,2024-08-22,2024-08
1177,2024-09-02,2024-09
1178,2024-07-30,2024-07
1179,2024-08-31,2024-08
1180,2024-11-25,2024-11
1181,2024-09-24,2024-09
1182,2024-09-04,2024-09
1183,2024-09-27,2024-09
1184,2024-10-28,2024-10
1185,2024-09-29,2024-09
1186,2024-08-01,2024-08
1187,2024-07-31,2024-07
1188,2024-08-31,2024-08
1189,2024-09-28,2024-09
1190,2024-08-26,2024-08
1191,2025-11-24,2025-11
1192,2024-12-31,2024-12
1193,2024-08-06,2024-08
1194,2025-06-30,2025-06
1195,2024-08-15,2024-08
1196,2025-07-31,2025-07
1197,2024-11-03,2024-11
1198,2024-08-01,2024-08
1199,2024-08-03,2024-08
1200,2024-12-05,2024-12
1201,2024-08-17,2024-08
1202,2025-02-21,2025-02
1203,2024-09-14,2024-09
1204,2024-08-19,2024-08
1205,2024-08-26,2024-08
1206,2024-09-30,2024-09
1207,2024-09-14,2024-09
1208,2025-05-07,2025-05
1209,2024-08-07,2024-08
1210,2024-10-13,2024-10
1211,2024-09-11,2024-09
1212,2025-08-07,2025-08
1213,2024-10-25,2024-10
1214,2024-09-24,2024-09
1215,2024-08-30,2024-08
1216,2024-08-31,2024-08
1217,2024-08-04,2024-08
1218,2024-12-27,2024-12
1219,2024-12-18,2024-12
1220,2024-09-18,2024-09
1221,2024-08-24,2024-08
1222,2024-08-27,2024-08
1223,2024-08-22,2024-08
1224,2024-09-07,2024-09
1225,2024-08-06,2024-08
1226,2024-11-30,2024-11
1227,2025-01-06,2025-01
1228,2024-09-26,2024-09
1229,2025-02-05,2025-02
1230,2025-02-27,2025-02
1231,2024-11-28,2024-11
1232,2024-09-08,2024-09
1233,2024-11-09,2024-11
1234,2024-08-30,2024-08
1235,2024-10-31,2024-10
1236,2024-09-07,2024-09
1237,2024-11-25,2024-11
1238,2024-12-08,2024-12
1239,2024-08-17,2024-08
1240,2024-07-30,2024-07
1241,2024-10-26,2024-10
1242,2024-09-24,2024-09
1243,2024-09-05,2024-09
1244,2024-09-10,2024-09
1245,2024-09-20,2024-09
1246,2024-11-02,2024-11
1247,2024-11-07,2024-11
1248,2024-08-31,2024-08
1249,2024-12-12,2024-12
1250,2024-10-05,2024-10
1251,2024-09-08,2024-09
1252,2024-08-02,2024-08
1253,2024-07-30,2024-07
1254,2025-03-14,2025-03
1255,2024-08-30,2024-08
1256,2024-11-12,2024-11
1257,2024-09-14,2024-09
1258,2024-08-17,2024-08
1259,2024-08-22,2024-08
1260,2024-08-30,2024-08
1261,2024-09-26,2024-09
1262,2024-10-02,2024-10
1263,2025-01-29,2025-01
1264,2024-09-26,2024-09
1265,2024-09-20,2024-09
1266,2024-08-12,2024-08
1267,2024-08-26,2024-08
1268,2025-01-06,2025-01
1269,2024-11-29,2024-11
1270,2024-08-25,2024-08
1271,2024-08-22,2024-08
1272,2024-08-22,2024-08
1273,2025-01-16,2025-01
1274,2024-09-04,2024-09
1275,2024-09-08,2024-09
1276,2024-08-02,2024-08
1277,2024-08-31,2024-08
1278,2024-09-22,2024-09
1279,2024-09-23,2024-09
1280,2024-08-20,2024-08
1281,2024-09-27,2024-09
1282,2024-08-21,2024-08
1283,2025-01-13,2025-01
1284,2024-08-26,2024-08
1285,2024-10-08,2024-10
1286,2024-08-16,2024-08
1287,2024-09-08,2024-09
1288,2024-08-15,2024-08
1289,2024-10-05,2024-10
1290,2024-08-04,2024-08
1291,2024-09-30,2024-09
1292,2024-08-07,2024-08
1293,2025-01-06,2025-01
1294,2024-08-18,2024-08
1295,2024-11-15,2024-11
1296,2024-11-01,2024-11
1297,2024-08-05,2024-08
1298,2024-10-19,2024-10
1299,2024-08-04,2024-08
1300,2024-09-23,2024-09
1301,2024-07-30,2024-07
1302,2024-09-13,2024-09
1303,2025-03-09,2025-03
1304,2024-08-09,2024-08
1305,2024-09-07,2024-09
1306,2024-12-10,2024-12
1307,2024-12-18,2024-12
1308,2024-11-15,2024-11
1309,2024-08-20,2024-08
1310,2024-08-25,2024-08
1311,2024-09-18,2024-09
1312,2024-12-28,2024-12
1313,2024-11-24,2024-11
1314,2024-09-27,2024-09
1315,2024-09-25,2024-09
1316,2024-08-15,2024-08
1317,2024-08-02,2024-08
1318,2024-09-15,2024-09
1319,2024-09-02,2024-09
1320,2024-08-16,2024-08
1321,2024-11-11,2024-11
1322,2024-11-06,2024-11
1323,2024-08-07,2024-08
1324,2024-11-07,2024-11
1325,2024-09-07,2024-09
1326,2025-01-15,2025-01
1327,2024-11-21,2024-11
1328,2024-10-06,2024-10
1329,2024-08-24,2024-08
1330,2024-09-26,2024-09
1331,2024-08-14,2024-08
1332,2024-07-30,2024-07
1333,2025-10-02,2025-10
1334,2024-09-21,2024-09
1335,2025-02-05,2025-02
1336,2024-08-08,2024-08
1337,2025-06-07,2025-06
1338,2024-10-07,2024-10
1339,2024-11-27,2024-11
1340,2024-08-20,2024-08
1341,2024-10-25,2024-10
1342,2024-09-10,2024-09
1343,2024-09-18,2024-09
1344,2024-08-25,2024-08
1345,2024-09-26,2024-09
1346,2024-10-09,2024-10
1347,2025-02-15,2025-02
1348,2024-08-20,2024-08
1349,2025-09-08,2025-09
1350,2025-04-17,2025-04
1351,2024-11-22,2024-11
1352,2024-08-26,2024-08
1353,2024-08-30,2024-08
1354,2025-03-01,2025-03
1355,2024-08-16,2024-08
1356,2024-08-01,2024-08
1357,2024-08-21,2024-08
1358,2024-08-10,2024-08
1359,2024-09-21,2024-09
1360,2024-10-25,2024-10
1361,2024-08-04,2024-08
1362,2024-10-12,2024-10
1363,2024-10-08,2024-10
1364,2024-10-06,2024-10
1365,2024-11-03,2024-11
1366,2024-09-14,2024-09
1367,2024-09-14,2024-09
1368,2025-01-29,2025-01
1369,2024-08-20,2024-08
1370,2024-07-31,2024-07
1371,2024-09-05,2024-09
1372,2024-08-03,2024-08
1373,2024-08-19,2024-08
1374,2024-08-04,2024-08
1375,2024-09-07,2024-09
1376,2024-11-26,2024-11
1377,2024-12-24,2024-12
1378,2024-08-09,2024-08
1379,2024-09-24,2024-09
1380,2024-08-02,2024-08
1381,2024-10-10,2024-10
1382,2024-10-20,2024-10
1383,2024-08-01,2024-08
1384,2024-10-07,2024-10
1385,2024-11-07,2024-11
1386,2024-08-19,2024-08
1387,2024-10-07,2024-10
1388,2024-08-08,2024-08
1389,2024-09-21,2024-09
1390,2024-08-13,2024-08
1391,2024-10-04,2024-10
1392,2024-08-13,2024-08
1393,2024-11-28,2024-11
1394,2024-08-30,2024-08
1395,2024-09-09,2024-09
1396,2025-01-07,2025-01
1397,2024-08-11,2024-08
1398,2025-04-02,2025-04
1399,2024-10-23,2024-10
1400,2024-09-04,2024-09
1401,2024-08-03,2024-08
1402,2024-09-03,2024-09
1403,2024-09-14,2024-09
1404,2024-10-24,2024-10
1405,2024-11-22,2024-11
1406,2024-08-25,2024-08
1407,2024-08-04,2024-08
1408,2024-07-31,2024-07
1409,2024-11-28,2024-11
1410,2024-10-15,2024-10
1411,2024-08-31,2024-08
1412,2024-12-23,2024-12
1413,2024-09-06,2024-09
1414,2024-08-07,2024-08
1415,2024-10-21,2024-10
1416,2024-10-07,2024-10
1417,2024-10-13,2024-10
1418,2024-11-10,2024-11
1419,2025-02-02,2025-02
1420,2024-10-26,2024-10
1421,2024-09-28,2024-09
1422,2024-07-31,2024-07
1423,2024-08-17,2024-08
1424,2024-10-22,2024-10
1425,2024-09-12,2024-09
1426,2024-09-07,2024-09
1427,2024-08-21,2024-08
1428,2024-09-15,2024-09
1429,2024-08-29,2024-08
1430,2024-10-07,2024-10
1431,2024-10-12,2024-10
1432,2024-08-11,2024-08
1433,2024-09-02,2024-09
1434,2024-10-22,2024-10
1435,2024-08-02,2024-08
1436,2024-09-04,2024-09
1437,2024-08-19,2024-08
1438,2025-04-23,2025-04
1439,2024-08-07,2024-08
1440,2024-08-19,2024-08
1441,2024-10-14,2024-10
1442,2024-08-30,2024-08
1443,2025-01-21,2025-01
1444,2024-10-23,2024-10
1445,2024-08-26,2024-08
1446,2024-09-24,2024-09
1447,2024-10-16,2024-10
1448,2024-09-05,2024-09
1449,2024-09-10,2024-09
1450,2024-10-03,2024-10
1451,2024-12-10,2024-12
1452,2024-08-15,2024-08
1453,2024-08-29,2024-08
1454,2024-09-24,2024-09
1455,2024-09-14,2024-09
1456,2024-08-01,2024-08
1457,2024-09-29,2024-09
1458,2024-08-11,2024-08
1459,2024-09-03,2024-09
1460,2024-12-03,2024-12
1461,2024-12-20,2024-12
1462,2024-11-15,2024-11
1463,2024-10-23,2024-10
1464,2024-10-03,2024-10
1465,2024-09-28,2024-09
1466,2024-09-18,2024-09
1467,2024-08-01,2024-08
1468,2024-11-18,2024-11
1469,2024-08-26,2024-08
1470,2025-04-03,2025-04
1471,2024-09-29,2024-09
1472,2024-09-01,2024-09
1473,2024-10-16,2024-10
1474,2024-08-23,2024-08
1475,2024-08-19,2024-08
1476,2024-08-03,2024-08
1477,2024-08-14,2024-08
1478,2024-10-17,2024-10
1479,2024-09-14,2024-09
1480,2024-09-17,2024-09
1481,2024-08-15,2024-08
1482,2024-11-12,2024-11
1483,2024-08-09,2024-08
1484,2024-11-22,2024-11
1485,2024-09-01,2024-09
1486,2024-08-19,2024-08
1487,2024-09-13,2024-09
1488,2024-09-03,2024-09
1489,2024-08-25,2024-08
1490,2024-11-19,2024-11
1491,2025-01-26,2025-01
1492,2025-04-08,2025-04
1493,2024-08-17,2024-08
1494,2024-09-04,2024-09
1495,2025-05-22,2025-05
1496,2024-10-07,2024-10
1497,2024-08-20,2024-08
1498,2024-08-14,2024-08
1499,2024-10-30,2024-10
1500,2024-10-04,2024-10
