order_date,daily_revenue,cumulative_revenue
2024-11-10,1452370,320634574
2024-11-11,260850,320895424
2024-11-12,4067357,324962781
2024-11-13,4132364,329095145
2024-11-14,1116539,330211684
2024-11-15,2521604,332733288
2024-11-16,3321285,336054573
2024-11-17,2057710,338112283
2024-11-18,3041079,341153362
2024-11-19,3136975,344290337
2024-11-20,1069640,345359977
2024-11-21,4568190,349928167
2024-11-22,4907416,354835583
2024-11-23,1856493,356692076
2024-11-24,4117061,360809137
2024-11-25,2703102,363512239
2024-11-26,4418368,367930607
2024-11-27,1939336,369869943
2024-11-28,4341587,374211530
2024-11-29,1760618,375972148
2024-11-30,2755698,378727846
2024-12-01,903120,379630966
2024-12-02,4623684,384254650
2024-12-03,2069406,386324056
2024-12-04,5585603,391909659
2024-12-05,3254766,395164425
2024-12-06,2117942,397282367
2024-12-07,2701885,399984252
2024-12-08,1883201,401867453
2024-12-09,3181374,405048827
2024-12-10,4499983,409548810
2024-12-11,5633456,415182266
2024-12-12,4416873,419599139
2024-12-13,5480719,425079858
2024-12-14,2806752,427886610
2024-12-15,2493581,430380191
2024-12-16,2546160,432926351
2024-12-17,3188871,436115222
2024-12-18,4782832,440898054
2024-12-19,4677137,445575191
2024-12-20,2397499,447972690
2024-12-21,3248420,451221110
2024-12-22,3185212,454406322
2024-12-23,2599175,457005497
2024-12-24,3280224,460285721
2024-12-25,5020645,465306366
2024-12-26,4280746,469587112
2024-12-27,5405240,474992352
2024-12-28,3777597,478769949
2024-12-29,1068844,479838793
2024-12-30,2065654,481904447
2024-12-31,3416084,485320531
2025-01-01,2911720,488232251
2025-01-02,2583766,490816017
2025-01-03,3032160,493848177
2025-01-04,3776775,497624952
2025-01-05,1841836,499466788
2025-01-06,5829867,505296655
2025-01-07,1523060,506819715
2025-01-08,4126704,510946419
2025-01-09,3895937,514842356
2025-01-10,3640552,518482908
2025-01-11,2260047,520742955
2025-01-12,1958265,522701220
2025-01-13,3536919,526238139
2025-01-14,1453789,527691928
2025-01-15,4524438,532216366
2025-01-16,2426150,534642516
2025-01-17,791900,535434416
2025-01-18,4150310,539584726
2025-01-19,2801924,542386650
2025-01-20,3622028,546008678
2025-01-21,2093383,548102061
2025-01-22,2944374,551046435
2025-01-23,2079155,553125590
2025-01-24,2582390,555707980
2025-01-25,3651448,559359428
2025-01-26,2181021,561540449
2025-01-27,2048850,563589299
2025-01-28,4129125,567718424
2025-01-29,3229957,570948381
2025-01-30,2350075,573298456
2025-01-31,1824774,575123230
2025-02-01,1204875,576328105
2025-02-02,4989823,581317928
2025-02-03,1077142,582395070
2025-02-04,2412857,584807927
2025-02-05,7320402,592128329
2025-02-06,1814085,593942414
2025-02-07,2931025,596873439
2025-02-08,672837,597546276
2025-02-09,3633356,601179632
2025-02-10,2303568,603483200
2025-02-11,2463362,605946562
2025-02-12,1609369,607555931
2025-02-13,1657853,609213784
2025-02-14,2797927,612011711
2025-02-15,2276282,614287993
2025-02-16,3695294,617983287
2025-02-17,3031789,621015076
2025-02-18,3106698,624121774
2025-02-19,3776195,627897969
2025-02-20,1402697,629300666
2025-02-21,3801112,633101778
2025-02-22,2978222,636080000
2025-02-23,3226615,639306615
2025-02-24,2085579,641392194
2025-02-25,1920144,643312338
2025-02-26,5218393,648530731
2025-02-27,2680972,651211703
2025-02-28,1336082,652547785
2025-03-01,1464194,654011979
2025-03-02,3365538,657377517
2025-03-03,3076513,660454030
2025-03-04,676324,661130354
2025-03-05,4530750,665661104
2025-03-06,777378,666438482
2025-03-07,1875537,668314019
2025-03-08,2236520,670550539
2025-03-09,1633956,672184495
2025-03-10,2300314,674484809
2025-03-11,1377248,675862057
2025-03-12,2240943,678103000
2025-03-13,2537315,680640315
2025-03-14,3565451,684205766
2025-03-15,322148,684527914
2025-03-16,1308230,685836144
2025-03-17,4463626,690299770
2025-03-18,3376558,693676328
2025-03-19,4803702,698480030
2025-03-20,4300541,702780571
2025-03-21,1962834,704743405
2025-03-22,590133,705333538
2025-03-23,3808306,709141844
2025-03-24,1296401,710438245
2025-03-25,4237284,714675529
2025-03-26,1590915,716266444
2025-03-27,3079447,719345891
2025-03-28,7638420,726984311
2025-03-29,4509151,731493462
2025-03-30,5811338,737304800
2025-03-31,2658934,739963734
2025-04-01,4412069,744375803
2025-04-02,1011791,745387594
2025-04-03,2869981,748257575
2025-04-04,3957178,752214753
2025-04-05,4823076,757037829
2025-04-06,853152,757890981
2025-04-07,2859044,760750025
2025-04-08,4445845,765195870
2025-04-09,5518054,770713924
2025-04-10,735765,771449689
2025-04-11,1909273,773358962
2025-04-12,2853743,776212705
2025-04-13,1821862,778034567
2025-04-14,2108421,780142988
2025-04-15,4457613,784600601
2025-04-16,4550059,789150660
2025-04-17,3681446,792832106
2025-04-18,574441,793406547
2025-04-19,4546382,797952929
2025-04-20,1388595,799341524
2025-04-21,4385470,803726994
2025-04-22,3390622,807117616
2025-04-23,4538303,811655919
2025-04-24,3579492,815235411
2025-04-25,3296744,818532155
2025-04-26,3562807,822094962
2025-04-27,3082769,825177731
2025-04-28,2964855,828142586
2025-04-29,4394894,832537480
2025-04-30,3276367,835813847
2025-05-01,2390291,838204138
2025-05-02,4888466,843092604
2025-05-03,6687176,849779780
2025-05-04,1197812,850977592
2025-05-05,1988360,852965952
2025-05-06,6124891,859090843
2025-05-07,3954351,863045194
2025-05-08,4362094,867407288
2025-05-09,2035042,869442330
2025-05-10,3319605,872761935
2025-05-11,2290397,875052332
2025-05-12,3968287,879020619
2025-05-13,1053668,880074287
2025-05-14,2349739,882424026
2025-05-15,3620362,886044388
2025-05-16,5488227,891532615
2025-05-17,3790524,895323139
2025-05-18,3197609,898520748
2025-05-19,4761436,903282184
2025-05-20,2119203,905401387
2025-05-21,1241353,906642740
2025-05-22,3420126,910062866
2025-05-23,2005492,912068358
2025-05-24,1202027,913270385
2025-05-25,3973486,917243871
2025-05-26,2659063,919902934
2025-05-27,2163828,922066762
2025-05-28,2766658,924833420
2025-05-29,3012875,927846295
2025-05-30,3256409,931102704
2025-05-31,2115797,933218501
2025-06-01,1248023,934466524
2025-06-02,1850851,936317375
2025-06-03,1292136,937609511
2025-06-04,818131,938427642
2025-06-05,2382898,940810540
2025-06-06,1860503,942671043
2025-06-07,2331471,945002514
2025-06-08,4447637,949450151
2025-06-09,2681250,952131401
2025-06-10,5453341,957584742
2025-06-11,1957778,959542520
2025-06-12,3173176,962715696
2025-06-13,955940,963671636
2025-06-14,3719771,967391407
2025-06-15,2862510,970253917
2025-06-16,4201424,974455341
2025-06-17,3004077,977459418
2025-06-18,5159735,982619153
2025-06-19,3463749,986082902
2025-06-20,2033176,988116078
2025-06-21,2594447,990710525
2025-06-22,4470927,995181452
2025-06-23,2535300,997716752
2025-06-24,2848536,1000565288
2025-06-25,3221746,1003787034
2025-06-26,1172869,1004959903
2025-06-27,532718,1005492621
2025-06-28,2796768,1008289389
2025-06-29,1586512,1009875901
2025-06-30,4945160,1014821061
2025-07-01,1424079,1016245140
2025-07-02,2572791,1018817931
2025-07-03,5442894,1024260825
2025-07-04,2692836,1026953661
2025-07-05,2404130,1029357791
2025-07-06,2934671,1032292462
2025-07-07,3430747,1035723209
2025-07-08,3162653,1038885862
2025-07-09,3053066,1041938928
2025-07-10,4399444,1046338372
2025-07-11,5530210,1051868582
2025-07-12,3522313,1055390895
2025-07-13,1517708,1056908603
2025-07-14,4959485,1061868088
2025-07-15,3849708,1065717796
2025-07-16,2864193,1068581989
2025-07-17,4071920,1072653909
2025-07-18,3901514,1076555423
2025-07-19,2759592,1079315015
2025-07-20,1496350,1080811365
2025-07-21,3957359,1084768724
2025-07-22,3394910,1088163634
2025-07-23,2376773,1090540407
2025-07-24,1180516,1091720923
2025-07-25,1509075,1093229998
2025-07-26,3158104,1096388102
2025-07-27,1613900,1098002002
2025-07-28,3292515,1101294517
2025-07-29,3209163,1104503680
2025-07-30,3233466,1107737146
2025-07-31,4933384,1112670530
2025-08-01,2173770,1114844300
2025-08-02,6629474,1121473774
2025-08-03,1652257,1123126031
2025-08-04,3224309,1126350340
2025-08-05,550260,1126900600
2025-08-06,4455605,1131356205
2025-08-07,1311168,1132667373
2025-08-08,3278066,1135945439
2025-08-09,3060038,1139005477
2025-08-10,3471898,1142477375
2025-08-11,3009381,1145486756
2025-08-12,2103238,1147589994
2025-08-13,3058489,1150648483
2025-08-14,3046967,1153695450
2025-08-15,2428333,1156123783
2025-08-16,3273327,1159397110
2025-08-17,2852897,1162250007
2025-08-18,3647733,1165897740
2025-08-19,3561312,1169459052
2025-08-20,2173729,1171632781
2025-08-21,2693743,1174326524
2025-08-22,2079904,1176406428
2025-08-23,2186512,1178592940
2025-08-24,1080477,1179673417
2025-08-25,4567407,1184240824
2025-08-26,3596906,1187837730
2025-08-27,3443608,1191281338
2025-08-28,4014097,1195295435
2025-08-29,2070303,1197365738
2025-08-30,2146757,1199512495
2025-08-31,3070561,1202583056
2025-09-01,1935144,1204518200
2025-09-02,5611204,1210129404
2025-09-03,1402988,1211532392
2025-09-04,3953086,1215485478
2025-09-05,2711739,1218197217
2025-09-06,6183630,1224380847
2025-09-07,6313669,1230694516
2025-09-08,3095000,1233789516
2025-09-09,2252717,1236042233
2025-09-10,3215929,1239258162
2025-09-11,1540170,1240798332
2025-09-12,2219644,1243017976
2025-09-13,3211992,1246229968
2025-09-14,1297854,1247527822
2025-09-15,3257484,1250785306
2025-09-16,2966845,1253752151
2025-09-17,4641582,1258393733
2025-09-18,4681399,1263075132
2025-09-19,6760049,1269835181
2025-09-20,3215688,1273050869
2025-09-21,4174602,1277225471
2025-09-22,3557320,1280782791
2025-09-23,3831673,1284614464
2025-09-24,1515794,1286130258
2025-09-25,2250072,1288380330
2025-09-26,2130834,1290511164
2025-09-27,3203294,1293714458
2025-09-28,2815601,1296530059
2025-09-29,1471163,1298001222
2025-09-30,1497215,1299498437
2025-10-01,2650036,1302148473
2025-10-02,3652934,1305801407
2025-10-03,7675987,1313477394
2025-10-04,3193055,1316670449
2025-10-05,1506230,1318176679
2025-10-06,1381618,1319558297
2025-10-07,2788085,1322346382
2025-10-08,1833908,1324180290
2025-10-09,4958968,1329139258
2025-10-10,1412867,1330552125
2025-10-11,3981216,1334533341
2025-10-12,3052386,1337585727
2025-10-13,6334696,1343920423
2025-10-14,1391160,1345311583
2025-10-15,2500874,1347812457
2025-10-16,2799610,1350612067
2025-10-17,2973180,1353585247
2025-10-18,2733888,1356319135
2025-10-19,3385972,1359705107
2025-10-20,613486,1360318593
2025-10-21,1520250,1361838843
2025-10-22,1693941,1363532784
2025-10-23,3535826,1367068610
2025-10-24,3539552,1370608162
2025-10-25,3992956,1374601118
2025-10-26,2071939,1376673057
2025-10-27,1741806,1378414863
2025-10-28,2509820,1380924683
2025-10-29,2555104,1383479787
2025-10-30,591436,1384071223
2025-10-31,185753,1384256976
2025-11-01,4124300,1388381276
2025-11-02,3504242,1391885518
2025-11-03,2137481,1394022999
2025-11-04,6947930,1400970929
2025-11-05,1770769,1402741698
2025-11-06,3358877,1406100575
2025-11-07,1613716,1407714291
2025-11-08,5942153,1413656444
2025-11-09,1698192,1415354636
2025-11-10,4903511,1420258147
2025-11-11,2610758,1422868905
2025-11-12,2283005,1425151910
2025-11-13,1928091,1427080001
2025-11-14,1098100,1428178101
2025-11-15,2466419,1430644520
2025-11-16,2637388,1433281908
2025-11-17,2517829,1435799737
2025-11-18,5737465,1441537202
2025-11-19,3551136,1445088338
2025-11-20,5064414,1450152752
2025-11-21,3926471,1454079223
2025-11-22,4122233,1458201456
2025-11-23,4804677,1463006133
2025-11-24,2308345,1465314478
2025-11-25,3394040,1468708518
2025-11-26,3538867,1472247385
2025-11-27,3252517,1475499902
2025-11-28,2907729,1478407631
2025-11-29,3764953,1482172584
2025-11-30,2452031,1484624615
2025-12-01,1944319,1486568934
2025-12-02,3984882,1490553816
2025-12-03,1441949,1491995765
2025-12-04,1806541,1493802306
2025-12-05,2406945,1496209251
2025-12-06,2819159,1499028410
2025-12-07,4479235,1503507645
2025-12-08,1862084,1505369729
2025-12-09,1207158,1506576887
2025-12-10,4473366,1511050253
2025-12-11,3567865,1514618118
2025-12-12,1462023,1516080141
2025-12-13,4302528,1520382669
2025-12-14,2333464,1522716133
2025-12-15,2648777,1525364910
2025-12-16,1940660,1527305570
2025-12-17,2710212,1530015782
2025-12-18,3567122,1533582904
2025-12-19,3884917,1537467821
2025-12-20,349857,1537817678
2025-12-21,797497,1538615175
2025-12-22,2185638,1540800813
2025-12-23,2700146,1543500959
2025-12-24,2172021,1545672980
2025-12-25,2910006,1548582986
2025-12-26,2904146,1551487132
2025-12-27,7850575,1559337707
2025-12-28,1831778,1561169485
2025-12-29,7199662,1568369147
2025-12-30,3492113,1571861260
2025-12-31,2424466,1574285726
2026-01-01,3926654,1578212380
2026-01-02,5617880,1583830260
2026-01-03,3173046,1587003306
2026-01-04,1968333,1588971639
2026-01-05,4788765,1593760404
2026-01-06,2068875,1595829279
2026-01-07,3119700,1598948979
2026-01-08,6693304,1605642283
2026-01-09,3045131,1608687414
2026-01-10,5554471,1614241885
2026-01-11,4408545,1618650430
2026-01-12,1662884,1620313314
2026-01-13,2084590,1622397904
2026-01-14,4265919,1626663823
2026-01-15,3768108,1630431931
2026-01-16,3934880,1634366811
2026-01-17,5315445,1639682256
2026-01-18,5984050,1645666306
2026-01-19,2301412,1647967718
2026-01-20,2690652,1650658370
2026-01-21,2480988,1653139358
2026-01-22,4065975,1657205333
2026-01-23,1001920,1658207253
2026-01-24,1518887,1659726140
2026-01-25,1974190,1661700330
2026-01-26,2903755,1664604085
2026-01-27,2899418,1667503503
2026-01-28,4171070,1671674573
2026-01-29,2792309,1674466882
2026-01-30,1771356,1676238238
2026-01-31,4411402,1680649640
2026-02-01,4873702,1685523342
2026-02-02,3503950,1689027292
2026-02-03,5486375,1694513667
2026-02-04,2625792,1697139459
2026-02-05,2648012,1699787471
2026-02-06,3272770,1703060241
2026-02-07,2348335,1705408576
2026-02-08,3792656,1709201232
2026-02-09,4677663,1713878895
2026-02-10,3959071,1717837966
2026-02-11,3658755,1721496721
2026-02-12,3612660,1725109381
2026-02-13,3506253,1728615634
2026-02-14,1746660,1730362294
2026-02-15,2639232,1733001526
2026-02-16,2828656,1735830182
2026-02-17,4046264,1739876446
2026-02-18,2332529,1742208975
2026-02-19,2853298,1745062273
2026-02-20,2458417,1747520690
2026-02-21,2912669,1750433359
2026-02-22,5470981,1755904340
2026-02-23,1205363,1757109703
2026-02-24,3211940,1760321643
2026-02-25,1962309,1762283952
2026-02-26,4991900,1767275852
2026-02-27,2283001,1769558853
2026-02-28,3087907,1772646760
2026-03-01,3943702,1776590462
2026-03-02,3050209,1779640671
2026-03-03,682170,1780322841
2026-03-04,2948133,1783270974
2026-03-05,3170380,1786441354
2026-03-06,2485333,1788926687
2026-03-07,2235668,1791162355
2026-03-08,4165782,1795328137
2026-03-09,4825132,1800153269
2026-03-10,1527997,1801681266
2026-03-11,1911613,1803592879
2026-03-12,3943710,1807536589
2026-03-13,7408078,1814944667
2026-03-14,3792731,1818737398
2026-03-15,5402751,1824140149
2026-03-16,2704566,1826844715
2026-03-17,3019251,1829863966
2026-03-18,2846907,1832710873
2026-03-19,3286885,1835997758
2026-03-20,3017548,1839015306
2026-03-21,4305588,1843320894
2026-03-22,2699466,1846020360
2026-03-23,4872412,1850892772
2026-03-24,2344972,1853237744
2026-03-25,3536627,1856774371
2026-03-26,3154723,1859929094
2026-03-27,3941699,1863870793
2026-03-28,3355815,1867226608
2026-03-29,2476513,1869703121
2026-03-30,4348166,1874051287
2026-03-31,1851683,1875902970
2026-04-01,4750966,1880653936
2026-04-02,1020841,1881674777
2026-04-03,2059160,1883733937
2026-04-04,4056252,1887790189
2026-04-05,5119915,1892910104
2026-04-06,4676120,1897586224
2026-04-07,3188788,1900775012
2026-04-08,1715280,1902490292
2026-04-09,2684597,1905174889
2026-04-10,2394463,1907569352
2026-04-11,4550396,1912119748
2026-04-12,1405131,1913524879
2026-04-13,3056306,1916581185
2026-04-14,3615874,1920197059
2026-04-15,1819462,1922016521
2026-04-16,1807819,1923824340
2026-04-17,2455801,1926280141
2026-04-18,2948204,1929228345
2026-04-19,4911921,1934140266
2026-04-20,593604,1934733870
2026-04-21,4869160,1939603030
2026-04-22,1623248,1941226278
2026-04-23,3477588,1944703866
2026-04-24,3151005,1947854871
2026-04-25,3370879,1951225750
2026-04-26,1251044,1952476794
2026-04-27,4424065,1956900859
2026-04-28,1674897,1958575756
2026-04-29,2833831,1961409587
2026-04-30,1303079,1962712666
2026-05-01,3097478,1965810144
2026-05-02,2597639,1968407783
2026-05-03,536326,1968944109
2026-05-04,2455043,1971399152
2026-05-05,1512642,1972911794
2026-05-06,2667257,1975579051
2026-05-07,3498064,1979077115
2026-05-08,2569406,1981646521
2026-05-09,3612519,1985259040
2026-05-10,3984594,1989243634
2026-05-11,2490849,1991734483
2026-05-12,2078342,1993812825
2026-05-14,3948213,1997761038
2026-05-15,377351,1998138389
2026-05-16,2070809,2000209198
2026-05-17,1250314,2001459512
2026-05-18,4389261,2005848773
2026-05-19,4542308,2010391081
2026-05-20,4167703,2014558784
2026-05-21,3302968,2017861752
2026-05-22,2981754,2020843506
2026-05-23,2669402,2023512908
2026-05-24,3127913,2026640821
2026-05-25,2688602,2029329423
2026-05-26,1760186,2031089609
2026-05-27,3174799,2034264408
2026-05-28,3379466,2037643874
2026-05-29,1910832,2039554706
2026-05-30,2004271,2041558977
2026-05-31,1961499,2043520476
2026-06-01,2381874,2045902350
2026-06-02,1003690,2046906040
2026-06-03,1957533,2048863573
2026-06-04,5466142,2054329715
2026-06-05,6380221,2060709936
2026-06-06,2976873,2063686809
2026-06-07,3239068,2066925877
2026-06-08,2360060,2069285937
2026-06-09,737728,2070023665
2026-06-10,2952452,2072976117
2026-06-11,2121365,2075097482
2026-06-12,43443,2075140925
2026-06-13,1598258,2076739183
2026-06-14,1867455,2078606638
2026-06-15,2650644,2081257282
2026-06-16,1347650,2082604932
2026-06-17,1104002,2083708934
2026-06-18,3594374,2087303308
2026-06-19,2012539,2089315847
2026-06-20,2698099,2092013946
2026-06-21,3933989,2095947935
2026-06-22,1364269,2097312204
2026-06-23,2061642,2099373846
2026-06-24,1901543,2101275389
2026-06-25,1316729,2102592118
2026-06-26,580433,2103172551
2026-06-27,3983155,2107155706
2026-06-28,3109648,2110265354
2026-06-29,1507127,2111772481
2026-06-30,4082148,2115854629
2026-07-01,492040,2116346669
2026-07-02,1435957,2117782626
2026-07-03,4336181,2122118807
2026-07-04,3074920,2125193727
2026-07-05,4289269,2129482996
2026-07-06,3253269,2132736265
2026-07-07,2394935,2135131200
2026-07-08,2074177,2137205377
2026-07-09,734377,2137939754
2026-07-10,3261391,2141201145
2026-07-11,1737008,2142938153
2026-07-12,4174893,2147113046
2026-07-13,331782,2147444828
2026-07-14,4958075,2152402903
2026-07-15,3209187,2155612090
2026-07-16,3149078,2158761168
2026-07-17,1191541,2159952709
2026-07-18,4201250,2164153959
2026-07-19,991655,2165145614
2026-07-20,3285850,2168431464
2026-07-21,930536,2169362000
2026-07-22,796990,2170158990
2026-07-23,4027022,2174186012
2026-07-24,3870205,2178056217
2026-07-25,2666481,2180722698
2026-07-26,2004769,2182727467
2026-07-27,5516090,2188243557
2026-07-28,2963759,2191207316
2026-07-29,1870938,2193078254
2026-07-30,3814909,2196893163
