review_id,customer_id,book_id,rating,review_text,created_at
1270,1460,1,2,Not for me. The writing style felt very dated.,2024-05-04 05:24:00
4784,1029,1,5,The writing is exceptional and the story gripped me from page one.,2024-08-17 17:30:00
2705,9,1,3,Decent read. Not my favourite but not bad either.,2021-06-10 19:49:00
4554,1435,46,3,Decent read. Not my favourite but not bad either.,2023-04-04 17:15:00
1450,52,2,4,,2022-03-12 06:29:00
3577,1778,37,4,Above average. Would recommend to fans of the genre.,2024-11-29 13:53:00
3951,943,114,3,,2022-07-02 07:32:00
4310,462,14,4,Mostly great. The middle section drags a bit.,2024-12-28 08:26:00
4735,994,1,4,,2021-02-25 15:14:00
3814,1703,1,4,Mostly great. The middle section drags a bit.,2024-12-31 17:09:00
5470,2049,4,3,"Mixed feelings. Good premise, mediocre execution.",2021-09-17 07:54:00
1867,1413,1,4,Pleasant read. Nothing groundbreaking but definitely enjoyable.,2023-10-22 12:02:00
3421,1214,5,2,Would not recommend. Too slow and the payoff was not worth it.,2024-01-14 15:04:00
4842,1587,41,3,Average. Had its moments but failed to really engage me.,2024-01-14 17:43:00
5115,2613,20,5,,2023-11-14 14:29:00
4113,2679,2,4,,2023-12-02 19:07:00
3188,111,6,3,,2024-04-21 16:48:00
127,1081,1,5,Brilliant narrative. The characters feel genuinely real.,2024-12-08 19:44:00
753,2571,3,3,"Mixed feelings. Good premise, mediocre execution.",2023-07-21 11:04:00
5197,1231,3,3,"Some interesting parts, but overall felt underwhelming.",2021-11-09 14:23:00
3393,2749,4,4,Pleasant read. Nothing groundbreaking but definitely enjoyable.,2024-11-08 17:10:00
982,2458,6,3,It was okay. The hype around this book is a bit overstated.,2023-07-08 16:07:00
483,1240,2,4,Well-written and engaging. A few plot holes but forgivable.,2023-07-05 14:54:00
4118,806,1,3,Had potential but did not quite deliver on its promise.,2021-05-27 09:28:00
5091,642,2,4,Enjoyed it quite a bit. Solid writing and interesting ideas.,2024-08-26 15:40:00
2882,1964,1,5,,2024-03-02 19:38:00
601,1580,1,4,Liked it. The first half is stronger than the second.,2023-08-13 08:28:00
3384,2069,6,3,Had potential but did not quite deliver on its promise.,2024-06-02 06:49:00
1326,723,1,4,"Good book, though the ending felt a little rushed.",2022-10-11 15:50:00
1286,909,9,4,"Good book, though the ending felt a little rushed.",2024-10-20 13:03:00
2745,2267,15,3,Neither great nor terrible. Passes the time.,2024-01-21 17:42:00
4276,50,1,3,Average. Had its moments but failed to really engage me.,2024-06-14 08:23:00
4788,285,75,4,Mostly great. The middle section drags a bit.,2024-12-17 12:34:00
59,16,2,4,Above average. Would recommend to fans of the genre.,2022-09-22 22:49:00
797,1569,1,4,Liked it. The first half is stronger than the second.,2024-06-07 18:46:00
1188,2141,1,4,Above average. Would recommend to fans of the genre.,2024-10-25 13:06:00
794,2691,1,4,Enjoyed it quite a bit. Solid writing and interesting ideas.,2024-06-06 07:53:00
1583,1168,16,5,Beautifully written. The author's style is simply stunning.,2024-08-21 19:03:00
2122,2415,17,5,Perfect blend of story and insight. Will read again.,2023-09-21 20:08:00
460,1640,4,3,"Mixed feelings. Good premise, mediocre execution.",2021-06-13 07:53:00
1417,9,32,2,Would not recommend. Too slow and the payoff was not worth it.,2021-04-28 13:14:00
2620,1156,13,3,Average. Had its moments but failed to really engage me.,2022-07-30 11:28:00
3095,723,52,2,Disappointed. Expected much more based on the reviews.,2023-05-27 19:27:00
4738,657,1,3,Had potential but did not quite deliver on its promise.,2024-12-13 09:08:00
663,963,1,5,I finished this in two sittings. Absolutely riveting.,2023-03-29 19:55:00
4952,1490,20,5,,2021-12-20 20:25:00
5090,2236,1,4,Enjoyed it quite a bit. Solid writing and interesting ideas.,2024-10-08 03:52:00
5124,2348,2,3,,2024-05-19 13:58:00
1865,1493,1,5,Brilliant narrative. The characters feel genuinely real.,2022-11-26 10:01:00
2011,1128,10,3,Decent read. Not my favourite but not bad either.,2023-05-21 14:05:00
5607,1357,1,5,Absolutely loved this book — couldn't put it down!,2023-12-28 18:29:00
2202,2696,36,5,Beautifully written. The author's style is simply stunning.,2024-05-02 15:42:00
2836,2350,1,3,Had potential but did not quite deliver on its promise.,2024-06-08 09:27:00
2082,1432,22,4,,2023-11-02 12:49:00
1697,77,2,5,Beautifully written. The author's style is simply stunning.,2022-12-28 11:39:00
652,1039,12,3,Decent read. Not my favourite but not bad either.,2023-03-04 23:30:00
507,1237,1,3,Decent read. Not my favourite but not bad either.,2022-06-02 12:21:00
2160,1603,3,4,Enjoyed it quite a bit. Solid writing and interesting ideas.,2022-06-28 05:38:00
1896,2424,5,3,"Mixed feelings. Good premise, mediocre execution.",2024-12-12 22:18:00
4860,1756,8,2,Disappointed. Expected much more based on the reviews.,2023-05-17 10:35:00
3164,1424,1,3,Decent read. Not my favourite but not bad either.,2023-03-31 03:21:00
5410,355,6,3,It was okay. The hype around this book is a bit overstated.,2022-04-21 11:04:00
2001,1175,1,3,Decent read. Not my favourite but not bad either.,2024-12-31 08:37:00
1690,512,1,4,Mostly great. The middle section drags a bit.,2023-11-02 17:07:00
3849,1432,1,3,"Some interesting parts, but overall felt underwhelming.",2024-12-31 15:19:00
776,1566,11,4,Enjoyed it quite a bit. Solid writing and interesting ideas.,2023-11-04 19:12:00
3063,1247,2,4,A very good read overall. Some chapters were slow but worth it.,2022-01-17 18:41:00
3345,2588,1,3,Decent read. Not my favourite but not bad either.,2024-10-21 09:40:00
5551,1250,16,3,"Some interesting parts, but overall felt underwhelming.",2024-02-06 07:08:00
4540,1365,6,2,The plot felt disjointed and the pacing was off throughout.,2024-10-13 17:52:00
5472,1852,2,3,,2024-02-08 17:24:00
4890,1313,4,3,Average. Had its moments but failed to really engage me.,2023-03-21 03:09:00
2704,24,1,5,Beautifully written. The author's style is simply stunning.,2024-07-08 19:53:00
1485,1018,9,4,Enjoyed it quite a bit. Solid writing and interesting ideas.,2022-11-29 14:02:00
1185,1354,2,4,Enjoyed it quite a bit. Solid writing and interesting ideas.,2023-08-02 08:42:00
834,796,2,4,,2024-09-28 02:55:00
3339,2016,1,4,,2024-04-29 07:27:00
4944,2592,2,4,Well-written and engaging. A few plot holes but forgivable.,2023-10-26 20:40:00
3799,1345,109,5,The writing is exceptional and the story gripped me from page one.,2023-10-20 08:43:00
4167,262,4,2,Overrated. I did not enjoy the characters at all.,2023-09-14 20:49:00
2343,283,16,3,Neither great nor terrible. Passes the time.,2023-10-06 18:06:00
1236,2280,1,4,Pleasant read. Nothing groundbreaking but definitely enjoyable.,2024-08-20 13:17:00
5114,1919,5,4,Liked it. The first half is stronger than the second.,2021-08-14 12:14:00
471,2727,1,2,The plot felt disjointed and the pacing was off throughout.,2023-12-21 17:34:00
3404,354,18,4,Above average. Would recommend to fans of the genre.,2024-12-09 21:27:00
3772,1420,1,4,Mostly great. The middle section drags a bit.,2024-04-28 14:22:00
3904,2767,9,3,Decent read. Not my favourite but not bad either.,2024-06-24 10:45:00
728,481,40,5,This book changed the way I think. A must-read for everyone.,2024-01-02 14:58:00
4558,1981,39,4,,2021-02-28 21:56:00
576,1708,1,3,It was okay. The hype around this book is a bit overstated.,2020-09-03 11:34:00
375,2616,4,3,Decent read. Not my favourite but not bad either.,2024-11-26 10:18:00
5568,2126,10,4,Above average. Would recommend to fans of the genre.,2023-11-23 09:52:00
536,1696,2,3,Decent read. Not my favourite but not bad either.,2024-11-04 07:51:00
642,2324,1,3,Decent read. Not my favourite but not bad either.,2021-01-12 20:42:00
4587,2589,1,3,Average. Had its moments but failed to really engage me.,2024-10-24 14:01:00
2351,2400,2,3,"Mixed feelings. Good premise, mediocre execution.",2024-10-29 07:00:00
210,2390,2,4,A very good read overall. Some chapters were slow but worth it.,2024-02-06 09:51:00
5484,1705,81,3,It was okay. The hype around this book is a bit overstated.,2022-06-08 16:36:00
63,2644,2,6,Above average. Would recommend to fans of the genre.,2022-01-13 19:09:00
4515,2219,3,3,It was okay. The hype around this book is a bit overstated.,2022-10-27 12:36:00
2969,1744,2,4,Well-written and engaging. A few plot holes but forgivable.,2020-05-09 15:24:00
3785,615,1,3,"Mixed feelings. Good premise, mediocre execution.",2024-06-30 19:17:00
1949,2703,2,4,"Good book, though the ending felt a little rushed.",2024-07-01 07:33:00
1863,2400,35,4,Mostly great. The middle section drags a bit.,2023-06-18 08:13:00
841,861,1,4,Mostly great. The middle section drags a bit.,2024-12-31 11:23:00
4384,1754,6,4,Liked it. The first half is stronger than the second.,2024-11-16 20:09:00
3078,2078,1,5,One of the best reads I have had in years. Highly recommended.,2022-09-11 08:30:00
2391,1328,1,4,Pleasant read. Nothing groundbreaking but definitely enjoyable.,2024-12-28 08:30:00
2208,312,1,5,,2021-12-17 09:06:00
5061,764,23,3,It was okay. The hype around this book is a bit overstated.,2021-12-29 06:53:00
5233,629,7,5,Perfect blend of story and insight. Will read again.,2023-10-20 17:57:00
1703,1546,2,4,Enjoyed it quite a bit. Solid writing and interesting ideas.,2023-06-15 17:31:00
2695,1246,1,4,Pleasant read. Nothing groundbreaking but definitely enjoyable.,2020-12-19 17:00:00
2929,479,4,4,Mostly great. The middle section drags a bit.,2024-11-23 20:34:00
2633,297,1,3,Average. Had its moments but failed to really engage me.,2022-04-01 19:06:00
585,736,1,3,It was okay. The hype around this book is a bit overstated.,2024-03-23 20:36:00
3283,245,2,4,Well-written and engaging. A few plot holes but forgivable.,2024-09-25 19:13:00
2762,1956,28,2,Would not recommend. Too slow and the payoff was not worth it.,2024-07-03 16:24:00
4620,2235,2,4,A very good read overall. Some chapters were slow but worth it.,2024-06-07 10:16:00
5576,731,1,3,Decent read. Not my favourite but not bad either.,2022-06-16 15:06:00
4094,2079,1,3,Decent read. Not my favourite but not bad either.,2024-08-19 12:58:00
2934,545,7,5,A masterpiece. Every chapter left me wanting more.,2022-05-31 20:31:00
4480,1306,3,2,Overrated. I did not enjoy the characters at all.,2024-06-19 07:23:00
3433,899,7,4,Above average. Would recommend to fans of the genre.,2024-09-09 16:27:00
2596,82,6,2,,2022-09-30 17:54:00
4550,1808,2,4,Well-written and engaging. A few plot holes but forgivable.,2021-12-26 14:08:00
5604,18,16,5,Exceeded all my expectations. Truly extraordinary.,2023-12-05 22:17:00
1739,719,13,3,Average. Had its moments but failed to really engage me.,2024-01-15 16:13:00
4246,1341,13,4,Above average. Would recommend to fans of the genre.,2021-06-08 05:51:00
4601,1842,27,3,Decent read. Not my favourite but not bad either.,2024-03-28 11:02:00
4628,2651,1,5,One of the best reads I have had in years. Highly recommended.,2024-12-31 10:43:00
1013,2131,1,5,Exceeded all my expectations. Truly extraordinary.,2023-07-23 13:02:00
2330,108,4,3,Decent read. Not my favourite but not bad either.,2023-02-01 08:21:00
1729,1935,3,3,"Some interesting parts, but overall felt underwhelming.",2021-09-18 18:17:00
226,796,19,3,Average. Had its moments but failed to really engage me.,2024-12-31 07:59:00
3549,437,4,3,Neither great nor terrible. Passes the time.,2024-02-12 18:59:00
780,2267,1,2,The plot felt disjointed and the pacing was off throughout.,2024-10-18 09:23:00
1347,2089,3,4,Enjoyed it quite a bit. Solid writing and interesting ideas.,2022-01-06 20:28:00
2621,1737,1,4,Mostly great. The middle section drags a bit.,2021-09-26 00:00:00
80,2016,23,1,One of the worst books I have read. No coherent plot.,2020-03-13 17:33:00
2937,1324,3,3,,2022-01-31 08:31:00
54,627,1,3,Average. Had its moments but failed to really engage me.,2021-02-08 16:27:00
1212,1008,4,5,A masterpiece. Every chapter left me wanting more.,2021-08-15 08:02:00
5486,398,14,4,,2024-04-03 04:43:00
4407,1693,1,4,Liked it. The first half is stronger than the second.,2023-01-04 09:20:00
1648,17,1,4,Liked it. The first half is stronger than the second.,2023-10-01 21:36:00
4838,1762,2,4,Enjoyed it quite a bit. Solid writing and interesting ideas.,2024-12-11 19:27:00
2429,2353,4,4,Above average. Would recommend to fans of the genre.,2021-02-14 20:03:00
458,1597,2,4,Above average. Would recommend to fans of the genre.,2024-12-31 07:41:00
3893,792,9,4,Liked it. The first half is stronger than the second.,2024-03-27 14:31:00
4792,821,2,3,,2022-10-23 06:41:00
2554,814,2,4,Mostly great. The middle section drags a bit.,2023-08-17 15:24:00
498,1718,27,4,Liked it. The first half is stronger than the second.,2023-12-04 21:37:00
2490,936,1,4,Above average. Would recommend to fans of the genre.,2022-08-05 11:45:00
1259,582,16,3,Decent read. Not my favourite but not bad either.,2023-02-22 08:51:00
3619,1379,1,3,It was okay. The hype around this book is a bit overstated.,2023-01-10 11:56:00
5319,2297,3,3,"Mixed feelings. Good premise, mediocre execution.",2024-07-15 09:21:00
4383,2387,1,4,Pleasant read. Nothing groundbreaking but definitely enjoyable.,2022-11-25 21:43:00
882,1751,11,4,Mostly great. The middle section drags a bit.,2021-09-30 14:19:00
2467,1983,5,3,Had potential but did not quite deliver on its promise.,2024-11-22 10:56:00
3548,2356,2,5,Absolutely loved this book — couldn't put it down!,2024-06-21 19:18:00
2947,1599,2,3,It was okay. The hype around this book is a bit overstated.,2024-01-08 16:21:00
2407,2455,183,3,,2021-10-20 23:10:00
2850,1597,1,4,"Good book, though the ending felt a little rushed.",2024-11-20 19:46:00
1173,2540,151,3,"Some interesting parts, but overall felt underwhelming.",2023-01-24 18:01:00
1319,1372,15,6,Above average. Would recommend to fans of the genre.,2023-01-29 16:33:00
3405,1692,30,3,Neither great nor terrible. Passes the time.,2024-10-13 12:48:00
4185,1060,1,4,Enjoyed it quite a bit. Solid writing and interesting ideas.,2023-07-08 09:33:00
3046,1225,178,5,One of the best reads I have had in years. Highly recommended.,2023-01-23 16:07:00
3986,1530,4,3,"Mixed feelings. Good premise, mediocre execution.",2024-07-18 11:29:00
5479,1815,39,4,Above average. Would recommend to fans of the genre.,2024-09-23 19:16:00
3330,2179,1,4,Above average. Would recommend to fans of the genre.,2024-03-15 20:56:00
595,2434,1,3,Decent read. Not my favourite but not bad either.,2024-10-09 19:59:00
4017,583,5,4,A very good read overall. Some chapters were slow but worth it.,2024-08-19 16:33:00
2898,1306,1,3,Had potential but did not quite deliver on its promise.,2023-08-25 15:12:00
132,2075,1,3,"Some interesting parts, but overall felt underwhelming.",2021-10-14 05:07:00
2959,173,3,4,Well-written and engaging. A few plot holes but forgivable.,2020-08-03 20:59:00
1056,277,2,5,The writing is exceptional and the story gripped me from page one.,2024-10-04 13:12:00
3060,1627,5,3,Decent read. Not my favourite but not bad either.,2024-05-26 21:50:00
810,1082,2,4,Well-written and engaging. A few plot holes but forgivable.,2022-09-12 05:06:00
4239,2336,2,4,Above average. Would recommend to fans of the genre.,2024-11-18 08:21:00
4652,2121,2,4,A very good read overall. Some chapters were slow but worth it.,2023-03-16 15:34:00
4775,1919,18,3,Decent read. Not my favourite but not bad either.,2023-12-07 11:01:00
2261,2646,2,2,,2024-06-01 13:02:00
4565,1049,13,2,Struggled to get through it. The story meanders endlessly.,2022-10-20 06:01:00
382,2536,4,2,Disappointed. Expected much more based on the reviews.,2024-12-29 09:01:00
3424,572,8,4,Above average. Would recommend to fans of the genre.,2024-10-07 13:02:00
4365,2708,1,4,Above average. Would recommend to fans of the genre.,2024-07-21 21:40:00
3782,1697,2,3,Decent read. Not my favourite but not bad either.,2021-10-26 08:56:00
1074,2037,2,4,Well-written and engaging. A few plot holes but forgivable.,2024-11-12 08:25:00
676,2618,1,2,The plot felt disjointed and the pacing was off throughout.,2021-04-30 07:16:00
1075,1034,2,5,Absolutely loved this book — couldn't put it down!,2022-09-16 00:44:00
2370,19,11,4,A very good read overall. Some chapters were slow but worth it.,2023-11-14 09:58:00
1273,931,2,3,"Some interesting parts, but overall felt underwhelming.",2021-01-24 18:09:00
4144,977,4,3,Had potential but did not quite deliver on its promise.,2024-05-04 14:59:00
195,61,1,4,Liked it. The first half is stronger than the second.,2024-06-22 10:29:00
180,1085,1,4,Enjoyed it quite a bit. Solid writing and interesting ideas.,2022-10-12 16:16:00
3358,1799,2,2,Would not recommend. Too slow and the payoff was not worth it.,2022-02-01 12:28:00
3032,2078,19,4,Enjoyed it quite a bit. Solid writing and interesting ideas.,2023-10-26 15:00:00
1775,737,1,4,Pleasant read. Nothing groundbreaking but definitely enjoyable.,2023-10-20 21:29:00
3009,1064,3,5,Brilliant narrative. The characters feel genuinely real.,2024-12-07 16:04:00
1860,2637,2,4,Enjoyed it quite a bit. Solid writing and interesting ideas.,2024-01-01 07:09:00
4766,1395,2,5,I finished this in two sittings. Absolutely riveting.,2024-10-22 23:53:00
4441,918,5,3,Decent read. Not my favourite but not bad either.,2024-09-24 10:51:00
3977,1999,5,4,Liked it. The first half is stronger than the second.,2024-04-06 08:10:00
3397,522,1,0,Decent read. Not my favourite but not bad either.,2021-07-26 16:45:00
4100,892,153,4,Liked it. The first half is stronger than the second.,2023-10-23 12:25:00
833,1413,29,4,A very good read overall. Some chapters were slow but worth it.,2022-04-06 16:27:00
2755,149,1,3,It was okay. The hype around this book is a bit overstated.,2024-11-20 17:35:00
4116,723,20,3,"Some interesting parts, but overall felt underwhelming.",2024-12-20 00:38:00
3783,1865,12,5,Absolutely loved this book — couldn't put it down!,2023-06-13 18:57:00
1727,1187,50,4,"Good book, though the ending felt a little rushed.",2024-01-28 12:52:00
33,310,3,5,I finished this in two sittings. Absolutely riveting.,2020-02-06 11:16:00
303,740,2,2,Not for me. The writing style felt very dated.,2024-11-01 15:49:00
5276,2285,1,3,"Mixed feelings. Good premise, mediocre execution.",2024-10-26 17:27:00
2311,1617,1,4,Well-written and engaging. A few plot holes but forgivable.,2024-09-02 07:22:00
4125,2548,1,3,Neither great nor terrible. Passes the time.,2022-03-19 22:24:00
4576,172,4,3,"Mixed feelings. Good premise, mediocre execution.",2024-02-01 09:54:00
391,525,1,5,This book changed the way I think. A must-read for everyone.,2024-12-07 15:48:00
1009,1603,6,2,Disappointed. Expected much more based on the reviews.,2021-04-13 03:04:00
3394,490,3,2,Not for me. The writing style felt very dated.,2022-02-24 19:29:00
691,1111,3,4,Mostly great. The middle section drags a bit.,2024-12-31 09:23:00
3585,336,2,5,Perfect blend of story and insight. Will read again.,2024-03-23 19:09:00
5073,757,4,4,A very good read overall. Some chapters were slow but worth it.,2022-09-18 17:28:00
2021,2581,1,5,A masterpiece. Every chapter left me wanting more.,2024-05-17 12:16:00
1031,1348,1,3,Had potential but did not quite deliver on its promise.,2023-08-06 17:59:00
4446,2716,53,5,One of the best reads I have had in years. Highly recommended.,2024-04-20 05:26:00
4149,624,1,3,"Mixed feelings. Good premise, mediocre execution.",2022-10-25 18:51:00
1888,277,94,4,Mostly great. The middle section drags a bit.,2022-03-01 18:44:00
1077,1718,2,5,Beautifully written. The author's style is simply stunning.,2023-01-08 20:54:00
3747,1500,5,4,A very good read overall. Some chapters were slow but worth it.,2024-09-15 14:09:00
5407,301,30,3,Average. Had its moments but failed to really engage me.,2024-06-14 08:23:00
4308,790,3,3,Had potential but did not quite deliver on its promise.,2024-09-28 13:23:00
861,1155,11,3,"Mixed feelings. Good premise, mediocre execution.",2022-10-16 08:07:00
705,1247,5,3,,2023-04-06 18:33:00
964,2698,1,3,Had potential but did not quite deliver on its promise.,2024-04-23 20:49:00
1573,1655,2,4,"Good book, though the ending felt a little rushed.",2024-04-20 17:29:00
4513,2686,3,3,,2024-12-03 04:58:00
5538,1505,1,4,Pleasant read. Nothing groundbreaking but definitely enjoyable.,2023-09-09 13:17:00
1307,1764,2,6,A masterpiece. Every chapter left me wanting more.,2024-11-09 20:20:00
264,1809,1,4,,2021-06-20 15:54:00
750,1569,2,0,Pleasant read. Nothing groundbreaking but definitely enjoyable.,2023-11-01 20:12:00
2130,2237,2,3,Had potential but did not quite deliver on its promise.,2022-11-17 16:38:00
1899,13,4,3,It was okay. The hype around this book is a bit overstated.,2024-08-23 02:02:00
1242,504,3,4,"Good book, though the ending felt a little rushed.",2022-01-26 15:30:00
3117,1681,3,4,Liked it. The first half is stronger than the second.,2020-02-28 06:18:00
3605,1929,2,3,Decent read. Not my favourite but not bad either.,2024-01-09 05:45:00
490,75,6,3,Had potential but did not quite deliver on its promise.,2024-12-31 15:03:00
4754,1547,1,4,Pleasant read. Nothing groundbreaking but definitely enjoyable.,2024-09-18 07:19:00
1221,1865,6,4,,2024-09-20 18:04:00
1730,1720,2,4,Mostly great. The middle section drags a bit.,2023-07-27 19:19:00
435,628,4,4,Liked it. The first half is stronger than the second.,2024-06-09 12:57:00
2360,61,41,4,Pleasant read. Nothing groundbreaking but definitely enjoyable.,2024-06-08 06:48:00
4758,2150,4,2,Struggled to get through it. The story meanders endlessly.,2023-08-28 19:36:00
4912,1417,5,4,Mostly great. The middle section drags a bit.,2024-10-26 15:34:00
1231,2540,1,4,Enjoyed it quite a bit. Solid writing and interesting ideas.,2024-10-28 15:35:00
594,852,1,3,Average. Had its moments but failed to really engage me.,2024-12-28 15:29:00
1571,2126,10,4,Above average. Would recommend to fans of the genre.,2023-11-23 09:52:00
3979,127,24,5,Exceeded all my expectations. Truly extraordinary.,2021-08-15 04:48:00
5089,2799,4,3,Decent read. Not my favourite but not bad either.,2020-06-16 18:29:00
4242,698,1,4,Mostly great. The middle section drags a bit.,2024-06-30 19:16:00
3967,654,2,3,Decent read. Not my favourite but not bad either.,2023-01-02 11:03:00
398,930,1,3,"Some interesting parts, but overall felt underwhelming.",2024-11-19 13:56:00
2245,858,7,5,Beautifully written. The author's style is simply stunning.,2023-03-18 09:39:00
62,547,1,4,"Good book, though the ending felt a little rushed.",2022-09-08 22:57:00
4523,791,3,4,Mostly great. The middle section drags a bit.,2024-09-30 21:14:00
5170,1489,3,4,Mostly great. The middle section drags a bit.,2022-08-29 08:03:00
3387,2454,10,4,A very good read overall. Some chapters were slow but worth it.,2023-11-14 12:10:00
2259,98,12,4,,2024-07-19 23:58:00
3289,1758,4,4,Pleasant read. Nothing groundbreaking but definitely enjoyable.,2024-10-25 22:44:00
2187,2486,5,3,Average. Had its moments but failed to really engage me.,2024-04-18 11:13:00
4718,2418,2,3,Neither great nor terrible. Passes the time.,2024-11-26 14:04:00
2454,2205,2,5,I finished this in two sittings. Absolutely riveting.,2024-11-24 17:59:00
2432,1696,7,4,"Good book, though the ending felt a little rushed.",2024-02-08 07:22:00
3114,724,11,4,Enjoyed it quite a bit. Solid writing and interesting ideas.,2022-05-24 18:56:00
3737,2306,5,1,Could not finish it. Extremely boring.,2024-04-29 08:48:00
2854,1412,1,4,Pleasant read. Nothing groundbreaking but definitely enjoyable.,2024-11-21 12:02:00
3975,2375,2,4,,2024-04-13 17:35:00
3080,690,4,4,Enjoyed it quite a bit. Solid writing and interesting ideas.,2022-02-09 13:37:00
4132,25,1,4,Mostly great. The middle section drags a bit.,2022-10-10 12:45:00
4190,533,19,3,"Mixed feelings. Good premise, mediocre execution.",2023-12-04 20:13:00
1716,597,2,3,Had potential but did not quite deliver on its promise.,2022-08-17 08:15:00
3464,1920,9,5,One of the best reads I have had in years. Highly recommended.,2020-05-21 09:53:00
4262,2296,9,4,Mostly great. The middle section drags a bit.,2021-06-02 07:30:00
552,1308,1,3,,2022-11-27 09:00:00
1609,1533,1,4,Well-written and engaging. A few plot holes but forgivable.,2020-03-28 13:38:00
1159,1277,1,4,"Good book, though the ending felt a little rushed.",2022-04-11 18:29:00
4643,2799,2,4,"Good book, though the ending felt a little rushed.",2023-10-30 11:27:00
2920,1257,100,4,Pleasant read. Nothing groundbreaking but definitely enjoyable.,2023-10-01 09:43:00
4297,911,1,3,"Mixed feelings. Good premise, mediocre execution.",2024-10-28 20:01:00
271,2533,3,3,Decent read. Not my favourite but not bad either.,2024-03-29 20:54:00
3899,969,33,3,Neither great nor terrible. Passes the time.,2024-08-10 09:10:00
418,2361,1,4,Pleasant read. Nothing groundbreaking but definitely enjoyable.,2024-09-07 17:25:00
4479,1014,3,4,Liked it. The first half is stronger than the second.,2023-12-29 10:17:00
5023,1306,13,2,,2022-04-04 13:42:00
352,703,1,5,Absolutely loved this book — couldn't put it down!,2024-07-29 19:09:00
5401,163,10,2,Disappointed. Expected much more based on the reviews.,2020-09-13 21:17:00
1113,1437,1,4,Liked it. The first half is stronger than the second.,2024-06-22 08:46:00
1468,2546,22,3,,2021-08-14 12:29:00
115,1027,4,5,This book changed the way I think. A must-read for everyone.,2024-03-29 20:49:00
4123,332,4,3,Neither great nor terrible. Passes the time.,2024-05-30 17:23:00
3654,2008,18,4,Liked it. The first half is stronger than the second.,2023-04-15 19:17:00
